Referentiecode	Referentienummer	Omschrijving	D/C	Niveau	ReferentieOmslagcode	
B				1		
W				1		
BIva		IMMATERIËLE VASTE ACTIVA	D	2		
BMva		MATERIËLE VASTE ACTIVA	D	2		
BFva		FINANCIËLE VASTE ACTIVA	D	2		
BEff		EFFECTEN	D	2		
BEiv		EIGEN VERMOGEN	C	2		
BVrz		VOORZIENINGEN	C	2		
BLas		LANGLOPENDE SCHULDEN	C	2		
BLim		LIQUIDE MIDDELEN	D	2		
BVor		VORDERINGEN	D	2		
BSch		KORTLOPENDE SCHULDEN	C	2		
BVrd		VOORRADEN	D	2		
BPro		PROJECTEN	D	2		
WPer		PERSONEELSKOSTEN	D	2		
WAfs		AFSCHRIJVINGEN	D	2		
WBed		OVERIGE BEDRIJFSKOSTEN	D	2		
WKpr		INKOOPWAARDE VAN DE OMZET	D	2		
WOmz		OMZET	C	2		
WWiv		WIJZIGING VOORRADEN	D	2		
WOvb		OVERIGE BEDRIJFSOPBRENGSTEN	C	2		
WVhe		VRIJVAL HERWAARDERINGSRESERVE EN EGALISATIEREKENINGEN	C	2		
WFbe		FINANCIËLE BATEN EN LASTEN	C	2		
WBbe		BUITENGEWONE BATEN EN LASTEN	C	2		
WAad		AANDEEL DERDEN	D	2		
WBel		BELASTINGEN	D	2		
WNer		NETTO RESULTAAT	C	2		
BIvaKou	0101000	Kosten van oprichting en van uitgifte van aandelen	D	3		
BIvaKoo	0102000	Kosten van onderzoek en ontwikkeling	D	3		
BIvaSof	0103000	Software	D	3		
BIvaOie	0104000	Overig intellectueel eigendom	D	3		
BIvaBou	0105000	Bouwclaims	D	3		
BIvaCev	0106000	Concessies en vergunningen	D	3		
BIvaGoo	0107000	Goodwill	D	3		
BIvaGue	0108000	Goodwill uit eerdere overnames	D	3		
BIvaVoi	0109000	Vooruitbetaald op immateriële vaste activa	D	3		
BIvaOiv	0110000	Overige immateriële vaste activa	D	3		
BMvaTer	0201000	Terreinen	D	3		
BMvaBeg	0202000	Bedrijfsgebouwen	D	3		
BMvaVer	0203000	Verbouwingen	D	3		
BMvaVio	0204000	Vastgoed in ontwikkeling bestemd voor eigen exploitatie	D	3		
BMvaSvi	0205000	Sociaal vastgoed in exploitatie	D	3		
BMvaCvi	0206000	Commercieel vastgoed in exploitatie	D	3		
BMvaOzv	0207000	Onroerende zaken verkocht onder voorwaarden	D	3		
BMvaOvg	0208000	Overige vastgoedbeleggingen	D	3		
BMvaHuu	0209000	Huurdersinvesteringen	D	3		
BMvaMei	0210000	Machines en installaties	D	3		
BMvaVli	0211000	Vliegtuigen	D	3		
BMvaSch	0212000	Schepen	D	3		
BMvaTev	0213000	Transport- en vervoermiddelen	D	3		
BMvaObe	0214000	Overige vaste bedrijfsmiddelen	D	3		
BMvaBei	0215000	Bedrijfsinventaris	D	3		
BMvaVbi	0216000	Vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa 	D	3		
BMvaNad	0217000	Niet aan de bedrijfsuitoefening dienstbaar	D	3		
BMvaOmv	0218000	Overige materiële vaste activa	D	3		
BFvaDig	0301000	Deelnemingen in groepsmaatschappijen	D	3		
BFvaDio	0302000	Deelnemingen in overige verbonden maatschappijen	D	3		
BFvaAnd	0303000	Andere deelnemingen	D	3		
BFvaOve	0304000	Overige effecten	D	3		
BFvaVog	0305000	Vorderingen op groepsmaatschappijen	D	3		
BFvaVop	0306000	Vorderingen op participanten en op maatschappijen waarin wordt deelgenomen	D	3		
BFvaVov	0307000	Vorderingen op overige verbonden maatschappijen	D	3		
BFvaLbv	0308000	Latente belastingvorderingen	D	3		
BFvaOvr	0309000	Overige vorderingen	D	3		
BEffAan	0401000	Aandelen	D	3		
BEffObl	0402000	Obligaties	D	3		
BEffOve	0403000	Overige effecten	D	3		
BEivGok	0501000	Gestort en opgevraagd kapitaal	C	3		
BEivAgi	0502000	Agioreserves	C	3		
BEivHer	0503000	Herwaarderingsreserves	C	3		
BEivWer	0504000	Wettelijke reserves	C	3		
BEivStr	0505000	Statutaire reserves	C	3		
BEivOre	0506000	Overige reserves	C	3		
BEivFon	0507000	Fondsen	C	3		
BEivAvd	0508000	Aandeel van derden	C	3		
BEivKap	0509000	Kapitaal	C	3		
BEivFir	0510000	Fiscale reserves	C	3		
BVrzVvp	0701000	Voorziening voor pensioenen	C	3		
BVrzVvb	0702000	Voorziening voor belastingen	C	3		
BVrzVgo	0703000	Voorziening groot onderhoud	C	3		
BVrzOvz	0704000	Overige voorzieningen	C	3		
BVrzNeg	0705000	Negatieve goodwill	C	3		
BLasAcl	0801000	Achtergestelde leningen	C	3		
BLasCol	0802000	Converteerbare leningen	C	3		
BLasAoe	0803000	Andere obligaties en onderhandse leningen	C	3		
BLasFlv	0804000	Financiële lease verplichtingen	C	3		
BLasSak	0805000	Schulden aan kredietinstellingen	C	3		
BLasOls	0806000	Overige langlopende schulden	C	3		
BLimKas	1001000	Kassen	D	3		
BLimBan	1002000	Bankrekeningen	D	3		
BLimKru	1003000	Kruisposten	D	3		
BVorDeb	1101000	Debiteuren	D	3		
BVorBtw	1102000	Omzetbelasting	C	3		
BVorOvr	1103000	Overige vorderingen	D	3		
BVorOva	1104000	Overlopende activa	D	3		
BSchKol	1201000	Kortlopende leningen	C	3		
BSchSav	1202000	Schulden aan verbonden partijen	C	3		
BSchCre	1203000	Crediteuren	C	3		
BSchSal	1204000	Salarisverwerking	C	3		
BSchBtw	1205000	Omzetbelasting	C	3		
BSchLhe	1206000	Loonheffing	C	3		
BSchVpb	1207000	Vennootschapsbelasting	C	3		
BSchOvb	1208000	Overige belastingen	C	3		
BSchOvs	1209000	Overige schulden	C	3		
BSchOpa	1210000	Overlopende passiva	C	3		
BVrdHan	3001000	Handelsgoederen	D	3		
BVrdGeh	3002000	Grond- en hulpstoffen	D	3		
BVrdEmb	3003000	Emballage	D	3		
BVrdVrv	3004000	Vooruitbetaald op voorraden	D	3		
BVrdOwe	3101000	Onderhanden werken	D	3		
BVrdHal	3102000	Halffabrikaten	D	3		
BVrdGep	3103000	Gereed product	D	3		
BVrdVas	3104000	Vastgoed	D	3		
BProOnp	3501000	Onderhanden projecten	D	3		
WPerLes	4001000	Lonen en salarissen	D	3		
WPerSol	4002000	Sociale lasten	D	3		
WPerPen	4003000	Pensioenlasten	D	3		
WPerWkf	4004000	Werkkosten vrije ruimte	D	3		
WPerWkn	4005000	Werkkosten met nihilwaardering	D	3		
WPerWkg	4006000	Werkkosten gericht vrijgesteld	D	3		
WPerWkc	4007000	Werkkosten noodzakelijkheidscriterium	D	3		
WPerWki	4008000	Werkkosten intermediair	D	3		
WPerWkb	4009000	Werkkosten belast loon	D	3		
WPerWkv	4010000	Werkkosten geen of vrijgesteld loon	D	3		
WPerWko	4011000	Werkkosten overig	C	3		
WPerOvp	4012000	Overige personeelskosten	D	3		
WAfsAiv	4101000	Afschrijvingen immateriële vaste activa	D	3		
WAfsAmv	4102000	Afschrijvingen materiële vaste activa	D	3		
WAfsOwi	4103000	Overige waardeveranderingen immateriële vaste activa	D	3		
WAfsOwm	4104000	Overige waardeveranderingen materiële vaste activa	D	3		
WAfsRvi	4105000	Resultaat verkoop immateriële vaste activa	C	3		
WAfsRvm	4106000	Resultaat verkoop materiële vaste activa	C	3		
WAfsDae	4199000	Doorberekende afschrijvingen en waardeveranderingen	C	3		
WBedHui	4201000	Huisvestingskosten	D	3		
WBedEem	4202000	Exploitatie- en machinekosten	D	3		
WBedVkk	4203000	Verkoopkosten	D	3		
WBedAut	4204000	Autokosten	D	3		
WBedTra	4205000	Transportkosten	D	3		
WBedKan	4206000	Kantoorkosten	D	3		
WBedOrg	4207000	Organisatiekosten	D	3		
WBedAss	4208000	Assurantiekosten	D	3		
WBedAea	4209000	Accountants- en advieskosten	D	3		
WBedAdl	4210000	Administratieve lasten	D	3		
WBedKof	4211000	Kosten fondsenwerving	D	3		
WBedKse	4212000	Kosten stamrecht en lijfrentes	D	3		
WBedDvr	4213000	Dotaties en vrijval reserves	D	3		
WBedDvv	4214000	Dotaties en vrijval voorzieningen	D	3		
WBedAlk	4215000	Algemene kosten	D	3		
WBedDok	4999000	Doorberekende kosten	C	3		
WKprKvg	7001000	Kosten van grond- en hulpstoffen	D	3		
WKprKvp	7002000	Kosten van personeel	D	3		
WKprKuw	7003000	Kosten uitbesteed werk en andere externe kosten	D	3		
WKprKra	7004000	Kosten van rente en afschrijvingen	D	3		
WKprInh	7005000	Inkoopwaarde handelsgoederen	D	3		
WKprInp	7006000	Inkoopwaarde productiegoederen	D	3		
WKprIeb	7007000	Inkoopkortingen en bonussen	D	3		
WKprBtk	7008000	Betalingskortingen	D	3		
WKprKit	7009000	Kostprijs intercompany transacties	D	3		
WKprMuo	7010000	Mutatie omzetvorderingen	D	3		
WKprVom	7011000	Voorraadmutatie	D	3		
WKprPrg	7012000	Privé-gebruik goederen	C	3		
WKprPrd	7013000	Privé-gebruik diensten	C	3		
WOmzNop	8001000	"Netto-omzet, per opbrengstcategorie, verkoop van geproduceerde goederen"	C	3		
WOmzNoh	8002000	"Netto-omzet, per opbrengstcategorie, verkoop van handelsgoederen"	C	3		
WOmzNod	8003000	"Netto-omzet, per opbrengstcategorie, verlening van diensten"	C	3		
WOmzNoo	8004000	"Netto-omzet, per opbrengstcategorie, overig"	C	3		
WOmzOit	8005000	Omzet intercompany transacties	C	3		
WOmzKeb	8006000	Kortingen en bonussen	C	3		
WWivWgp	8101000	Wijziging in voorraden gereed product	D	3		
WWivWow	8102000	Wijziging in voorraden onderhanden werk	D	3		
WWivWop	8103000	Wijziging in onderhanden projecten in opdracht van derden	D	3		
WWivGpv	8104000	Geactiveerde productie voor het eigen bedrijf	C	3		
WOvbOnm	8201000	Ontvangen managementvergoeding	C	3		
WOvbOdp	8202000	Ontvangen doorbelasting personeelskosten	C	3		
WOvbBue	8203000	Baten uit eigen fondsenwerving	C	3		
WOvbBug	8204000	Baten uit gezamenlijke acties	C	3		
WOvbBua	8205000	Baten uit acties van derden	C	3		
WOvbVez	8206000	Verzekeringsuitkeringen	C	3		
WOvbOrs	8207000	Ontvangen restituties en subsidies	C	3		
WOvbHuo	8208000	Huurontvangsten	C	3		
WOvbOps	8209000	Opbrengsten servicecontracten	C	3		
WOvbNvv	8210000	Netto verkoopresultaat vastgoedportefeuille	C	3		
WOvbCcl	8211000	"College-, cursus-, les- en examengelden"	C	3		
WOvbBwi	8212000	Baten werk in opdracht van derden	C	3		
WOvbOvo	8213000	Overige opbrengsten	C	3		
WVheVuh	8301000	Vrijval uit herwaarderingsreserve	C	3		
WVheVeI	8302000	Vrijval egalisatierekening IPR	C	3		
WVheVoe	8303000	Vrijval overige egalisatierekeningen	C	3		
WFbeRof	8401000	Rente- en soortgelijke opbrengsten financiële activa	C	3		
WFbeRlm	8402000	Rente liquide middelen	C	3		
WFbeOrb	8403000	Overige rentebaten	C	3		
WFbeRls	8404000	Rente- en soortgelijke lasten	D	3		
WFbeBwv	8405000	Bijzondere waardevermindering van financiële vaste activa en vlottende activa	D	3		
WFbeOrl	8406000	Overige rentelasten	D	3		
WFbeWis	8407000	Wisselkoersverschillen	D	3		
WFbeKvb	8408000	Kosten van beleggingen	D	3		
WFbeKba	8409000	Kosten van beheer en administratie	D	3		
WFbeRed	8410000	Resultaat deelnemingen (dividend)	C	3		
WFbeDfb	8499000	Doorberekende financiële baten en lasten	C	3		
WBbeBub	8501000	Buitengewone baten	C	3		
WBbeBul	8502000	Buitengewone lasten	D	3		
WAadRav	9001000	Resultaat aandeel van derden	D	3		
WBelBgr	9002000	Belastingen gewoon resultaat	D	3		
WBelBbr	9003000	Belastingen buitengewoon resultaat	D	3		
WBelVbl	9004000	Vrijval belastinglatentie	C	3		
WBelMfo	9005000	Mutatie fiscale oudedagsreserve	D	3		
WNerNew	9999000	Nettoresultaat na belastingen	C	3		
BIvaKouVvp	0101010	Verkrijgings- of vervaardigingsprijs kosten van oprichting en van uitgifte van aandelen	D	4		
BIvaKouCae	0101020	Cumulatieve afschrijvingen en waardeverminderingen kosten van oprichting en van uitgifte van aandelen	C	4		
BIvaKouCuh	0101030	Cumulatieve herwaarderingen kosten van oprichting en van uitgifte van aandelen	D	4		
BIvaKooVvp	0102010	Verkrijgings- of vervaardigingsprijs kosten van onderzoek en ontwikkeling	D	4		
BIvaKooCae	0102020	Cumulatieve afschrijvingen en waardeverminderingen kosten van onderzoek en ontwikkeling	C	4		
BIvaKooCuh	0102030	Cumulatieve herwaarderingen kosten van onderzoek en ontwikkeling	D	4		
BIvaSofVvp	0103010	Verkrijgings- of vervaardigingsprijs software	D	4		
BIvaSofCae	0103020	Cumulatieve afschrijvingen en waardeverminderingen software	C	4		
BIvaSofCuh	0103030	Cumulatieve herwaarderingen software	D	4		
BIvaOieVvp	0104010	Verkrijgings- of vervaardigingsprijs overig intellectueel eigendom	D	4		
BIvaOieCae	0104020	Cumulatieve afschrijvingen en waardeverminderingen overig intellectueel eigendom	C	4		
BIvaOieCuh	0104030	Cumulatieve herwaarderingen overig intellectueel eigendom	D	4		
BIvaBouVvp	0105010	Verkrijgings- of vervaardigingsprijs bouwclaims	D	4		
BIvaBouCae	0105020	Cumulatieve afschrijvingen en waardeverminderingen bouwclaims	C	4		
BIvaBouCuh	0105030	Cumulatieve herwaarderingen bouwclaims	D	4		
BIvaCevVvp	0106010	Verkrijgings- of vervaardigingsprijs concessies en vergunningen	D	4		
BIvaCevCae	0106020	Cumulatieve afschrijvingen en waardeverminderingen concessies en vergunningen	C	4		
BIvaCevCuh	0106030	Cumulatieve herwaarderingen concessies en vergunningen	D	4		
BIvaGooVvp	0107010	Verkrijgings- of vervaardigingsprijs goodwill	D	4		
BIvaGooCae	0107020	Cumulatieve afschrijvingen en waardeverminderingen goodwill	C	4		
BIvaGooCuh	0107030	Cumulatieve herwaarderingen goodwill	D	4		
BIvaGueVvp	0108010	Verkrijgings- of vervaardigingsprijs goodwill uit eerdere overnames	D	4		
BIvaGueCae	0108020	Cumulatieve afschrijvingen en waardeverminderingen goodwill uit eerdere overnames	C	4		
BIvaGueCuh	0108030	Cumulatieve herwaarderingen goodwill uit eerdere overnames	D	4		
BIvaVoiVvp	0109010	Verkrijgings- of vervaardigingsprijs vooruitbetaald op immateriële vaste activa	D	4		
BIvaVoiCae	0109020	Cumulatieve afschrijvingen en waardeverminderingen vooruitbetaald op immateriële vaste activa	C	4		
BIvaVoiCuh	0109030	Cumulatieve herwaarderingen vooruitbetaald op immateriële vaste activa	D	4		
BIvaOivVvp	0110010	Verkrijgings- of vervaardigingsprijs overige immateriële vaste activa	D	4		
BIvaOivCae	0110020	Cumulatieve afschrijvingen en waardeverminderingen overige immateriële vaste activa	C	4		
BIvaOivCuh	0110030	Cumulatieve herwaarderingen overige immateriële vaste activa	D	4		
BMvaTerVvp	0201010	Verkrijgings- of vervaardigingsprijs terreinen	D	4		
BMvaTerCae	0201020	Cumulatieve afschrijvingen en waardeverminderingen terreinen	C	4		
BMvaTerCuh	0201030	Cumulatieve herwaarderingen terreinen	D	4		
BMvaBegVvp	0202010	Verkrijgings- of vervaardigingsprijs bedrijfsgebouwen	D	4		
BMvaBegCae	0202020	Cumulatieve afschrijvingen en waardeverminderingen bedrijfsgebouwen	C	4		
BMvaBegCuh	0202030	Cumulatieve herwaarderingen bedrijfsgebouwen	D	4		
BMvaVerVvp	0203010	Verkrijgings- of vervaardigingsprijs verbouwingen	D	4		
BMvaVerCae	0203020	Cumulatieve afschrijvingen en waardeverminderingen verbouwingen	C	4		
BMvaVerCuh	0203030	Cumulatieve herwaarderingen verbouwingen	D	4		
BMvaVioVvp	0204010	Verkrijgings- of vervaardigingsprijs vastgoed in ontwikkeling bestemd voor eigen exploitatie	D	4		
BMvaVioCae	0204020	Cumulatieve afschrijvingen en waardeverminderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie	C	4		
BMvaVioCuh	0204030	Cumulatieve herwaarderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie	D	4		
BMvaSviVvp	0205010	Verkrijgings- of vervaardigingsprijs sociaal vastgoed in exploitatie	D	4		
BMvaSviCae	0205020	Cumulatieve afschrijvingen en waardeverminderingen sociaal vastgoed in exploitatie	C	4		
BMvaSviCuh	0205030	Cumulatieve herwaarderingen sociaal vastgoed in exploitatie	D	4		
BMvaCviVvp	0206010	Verkrijgings- of vervaardigingsprijs commercieel vastgoed in exploitatie	D	4		
BMvaCviCae	0206020	Cumulatieve afschrijvingen en waardeverminderingen commercieel vastgoed in exploitatie	C	4		
BMvaCviCuh	0206030	Cumulatieve herwaarderingen commercieel vastgoed in exploitatie	D	4		
BMvaOzvVvp	0207010	Verkrijgings- of vervaardigingsprijs onroerende zaken verkocht onder voorwaarden	D	4		
BMvaOzvCae	0207020	Cumulatieve afschrijvingen en waardeverminderingen onroerende zaken verkocht onder voorwaarden	C	4		
BMvaOzvCuh	0207030	Cumulatieve herwaarderingen onroerende zaken verkocht onder voorwaarden	D	4		
BMvaOvgVvp	0208010	Verkrijgings- of vervaardigingsprijs overige vastgoedbeleggingen	D	4		
BMvaOvgCae	0208020	Cumulatieve afschrijvingen en waardeverminderingen overige vastgoedbeleggingen	C	4		
BMvaOvgCuh	0208030	Cumulatieve herwaarderingen overige vastgoedbeleggingen	D	4		
BMvaHuuVvp	0209010	Verkrijgings- of vervaardigingsprijs huurdersinvesteringen	D	4		
BMvaHuuCae	0209020	Cumulatieve afschrijvingen en waardeverminderingen huurdersinvesteringen	C	4		
BMvaHuuCuh	0209030	Cumulatieve herwaarderingen huurdersinvesteringen	D	4		
BMvaMeiVvp	0210010	Verkrijgings- of vervaardigingsprijs machines en installaties	D	4		
BMvaMeiCae	0210020	Cumulatieve afschrijvingen en waardeverminderingen machines en installaties	C	4		
BMvaMeiCuh	0210030	Cumulatieve herwaarderingen machines en installaties	D	4		
BMvaVliVvp	0211010	Verkrijgings- of vervaardigingsprijs vliegtuigen	D	4		
BMvaVliCae	0211020	Cumulatieve afschrijvingen en waardeverminderingen vliegtuigen	C	4		
BMvaVliCuh	0211030	Cumulatieve herwaarderingen vliegtuigen	D	4		
BMvaSchVvp	0212010	Verkrijgings- of vervaardigingsprijs schepen	D	4		
BMvaSchCae	0212020	Cumulatieve afschrijvingen en waardeverminderingen schepen	C	4		
BMvaSchCuh	0212030	Cumulatieve herwaarderingen schepen	D	4		
BMvaTevVvp	0213010	Verkrijgings- of vervaardigingsprijs transport- en vervoermiddelen	D	4		
BMvaTevCae	0213020	Cumulatieve afschrijvingen en waardeverminderingen transport- en vervoermiddelen	C	4		
BMvaTevCuh	0213030	Cumulatieve herwaarderingen transport- en vervoermiddelen	D	4		
BMvaObeVvp	0214010	Verkrijgings- of vervaardigingsprijs overige vaste bedrijfsmiddelen	D	4		
BMvaObeCae	0214020	Cumulatieve afschrijvingen en waardeverminderingen overige vaste bedrijfsmiddelen	C	4		
BMvaObeCuh	0214030	Cumulatieve herwaarderingen overige vaste bedrijfsmiddelen	D	4		
BMvaBeiVvp	0215010	Verkrijgings- of vervaardigingsprijs bedrijfsinventaris	D	4		
BMvaBeiCae	0215020	Cumulatieve afschrijvingen en waardeverminderingen bedrijfsinventaris	C	4		
BMvaBeiCuh	0215030	Cumulatieve herwaarderingen bedrijfsinventaris	D	4		
BMvaVbiVvp	0216010	Verkrijgings- of vervaardigingsprijs vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa 	D	4		
BMvaVbiCae	0216020	Cumulatieve afschrijvingen en waardeverminderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa 	C	4		
BMvaVbiCuh	0216030	Cumulatieve herwaarderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa 	D	4		
BMvaNadVvp	0217010	Verkrijgings- of vervaardigingsprijs niet aan de bedrijfsuitoefening dienstbaar	D	4		
BMvaNadCae	0217020	Cumulatieve afschrijvingen en waardeverminderingen niet aan de bedrijfsuitoefening dienstbaar	C	4		
BMvaNadCuh	0217030	Cumulatieve herwaarderingen niet aan de bedrijfsuitoefening dienstbaar	D	4		
BMvaOmvVvp	0218010	Verkrijgings- of vervaardigingsprijs overige materiële vaste activa	D	4		
BMvaOmvCae	0218020	Cumulatieve afschrijvingen en waardeverminderingen overige materiële vaste activa	C	4		
BMvaOmvCuh	0218030	Cumulatieve herwaarderingen overige materiële vaste activa	D	4		
BFvaDigNev	0301010	Netto vermogenswaarde deelnemingen in groepsmaatschappijen	D	4		
BFvaDigCae	0301020	Cumulatieve afschrijvingen en waardeverminderingen deelnemingen in groepsmaatschappijen	C	4		
BFvaDigCuh	0301030	Cumulatieve herwaarderingen deelnemingen in groepsmaatschappijen	D	4		
